Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather,Hour,Month,DayOfWeek,Is_Night,Temp_Diff,Hum_Vis_Interaction,Visibility_Category,Wind_Speed_Category
2012-08-17 14:00:00,1.3691758286920337,1.4743648836611976,0.0335858862682574,1.1042325916031213,-0.5263795388953393,-1.218184896802387,Cloudy,14,8,4,0,-0.10518905496916386,-0.017678923327276636,Low,Low
2012-08-17 15:00:00,1.3777321852729671,1.2170699478025897,-0.6166250283348559,1.8267427966689929,-0.5263795388953393,-1.1570655542221522,Cloudy,15,8,4,0,0.16066223747037744,0.32457879808622697,Low,Low
2012-08-17 16:00:00,1.3263940457873624,1.1068006895774716,-0.734845194626331,1.5859060616470355,-0.5263795388953393,-1.1203939486740078,Cloudy,16,8,4,0,0.21959335620989084,0.386807474706864,Low,Low
2012-08-17 17:00:00,1.3691758286920337,1.207880842950496,-0.6166250283348559,1.8267427966689929,-0.5263795388953393,-1.108170080157954,Cloudy,17,8,4,0,0.16129498574153778,0.32457879808622697,Low,Low
2012-08-17 18:00:00,1.2921686194636255,1.2446372623588688,-0.321074612606168,1.1042325916031213,1.3774818914170488,-1.059274606093773,Cloudy,18,8,4,1,0.047531357104756644,-0.4422744646587405,Low,Low
2012-08-17 19:00:00,1.2493868365589549,1.263015472063055,-0.2028544463146928,0.2613040190262709,1.3774818914170488,-0.9981552635135382,Clear,19,8,4,1,-0.013628635504100206,-0.2794283263919212,Low,Low
2012-08-17 20:00:00,1.1638232707496128,1.2170699478025897,-0.0846342800232177,-0.2203694510176435,0.2351650332296159,-0.8759165783530511,Clear,20,8,4,1,-0.05324667705297692,-0.019903023274024607,Low,Low
2012-08-17 21:00:00,1.1039287746830737,1.1343680041337512,-0.1437443631689553,-0.7020429210615579,0.2351650332296159,-0.8392449728049068,Clear,21,8,4,1,-0.030439229450677452,-0.03380364794119735,Low,Low
2012-08-17 22:00:00,1.0525906351974688,1.0700442701690989,-0.1437443631689553,-0.2203694510176435,0.2351650332296159,-0.8025733672567624,Clear,22,8,4,1,-0.017453634971630105,-0.03380364794119735,Low,Low
2012-08-17 23:00:00,0.8386817206741144,0.9597750119439812,0.1518060525597326,-0.2203694510176435,0.2351650332296159,-0.7536778931925816,Clear,23,8,4,1,-0.12109329126986679,0.035699475394666336,Low,Low
2012-08-18 00:00:00,0.7958999377694436,0.8035602294583979,-0.2028544463146928,-0.4612061860396007,0.2351650332296159,-0.7170062876444372,Clear,0,8,5,1,-0.007660291688954324,-0.04770427260837007,Low,Low
2012-08-18 01:00:00,0.7616745114457067,0.8035602294583979,-0.0846342800232177,-0.7020429210615579,0.2351650332296159,-0.6681108135802389,Clear,1,8,5,1,-0.04188571801269114,-0.019903023274024607,Low,Low
2012-08-18 02:00:00,0.5563219535032866,0.7851820197542115,0.5064665514341581,-0.9428796560835152,0.2351650332296159,-0.6558869450642024,Clear,2,8,5,1,-0.22886006625092492,0.11910322339770275,Low,Low
2012-08-18 03:00:00,0.5905473798270232,0.7943711246063047,0.4473564682884204,-0.9428796560835152,0.2351650332296159,-0.6314392080320945,Clear,3,8,5,1,-0.20382374477928145,0.10520259873052999,Low,Low
2012-08-18 04:00:00,0.5135401705986158,0.7668038100500253,0.5655766345798956,-0.4612061860396007,0.2351650332296159,-0.5947676024839675,Clear,4,8,5,1,-0.2532636394514095,0.13300384806487547,Low,Low
2012-08-18 05:00:00,0.5135401705986158,0.7851820197542115,0.6246867177256332,-0.2203694510176435,-0.5263795388953393,-0.5092005228716249,Clear,5,8,5,1,-0.27164184915559575,-0.3288223064304618,Low,Low
2012-08-18 06:00:00,0.5392092403414182,0.8678839634230499,0.8611270503085835,0.2613040190262709,1.3774818914170488,-0.4480811802913901,Clear,6,8,5,0,-0.3286747230816317,1.1861869180094518,Low,Low
2012-08-18 07:00:00,0.5819910232460891,0.8862621731272361,0.7429068840171084,0.6225591215592068,1.3774818914170488,-0.3502902321630108,Clear,7,8,5,0,-0.304271149881147,1.0233407797426326,Low,Low
2012-08-18 08:00:00,0.7103363719601018,0.9230185925356088,0.4473564682884204,0.2613040190262709,1.3774818914170488,-0.3258424951309031,Clear,8,8,5,0,-0.212682220575507,0.6162254340755844,Low,Low
2012-08-18 09:00:00,0.7873435811885093,0.8403166488667704,-0.0255241968774801,0.5021407540482281,-0.5263795388953393,-0.289170889582776,Clear,9,8,5,0,-0.05297306767826104,0.013435414983041835,Low,Low
2012-08-18 10:00:00,0.8130126509313119,0.8311275440146773,-0.1437443631689553,0.2613040190262709,-0.5263795388953393,-0.2769470210667221,Cloudy,10,8,5,0,-0.018114893083365335,0.07566409160367889,Low,Low
2012-08-18 11:00:00,0.872907146997851,0.7668038100500253,-0.4984048620433807,0.5021407540482281,1.3774818914170488,-0.2647231525506682,Cloudy,11,8,5,0,0.1061033369478257,-0.6865436720589693,Low,Low
2012-08-18 12:00:00,1.0440342786165344,0.7943711246063047,-0.8530653609178063,0.8633958565811639,1.3774818914170488,-0.2769470210667221,Clear,12,8,5,0,0.24966315401022976,-1.1750820868594272,Low,Low
2012-08-18 13:00:00,1.0611469917784029,0.7208582857895596,-1.030395610355019,0.6225591215592068,1.3774818914170488,-0.2524992840346317,Clear,13,8,5,0,0.3402887059888433,-1.419351294259656,Low,Low
2012-08-18 14:00:00,0.9670270693881272,0.7024800760853732,-0.8530653609178063,0.2613040190262709,1.3774818914170488,-0.3013947580988126,Clear,14,8,5,0,0.264546993302754,-1.1750820868594272,Low,Low
2012-08-18 15:00:00,1.1295978444258763,0.619778132416535,-1.3850561092294444,0.6225591215592068,1.3774818914170488,-0.3258424951309031,Clear,15,8,5,0,0.5098197120093413,-1.9078897090601137,Low,Low
2012-08-18 16:00:00,1.069703348359337,0.4819415596351378,-1.5032762755209197,0.8633958565811639,1.3774818914170488,-0.3380663636469569,Cloudy,16,8,5,0,0.5877617887241993,-2.070735847326933,Low,Low
2012-08-18 17:00:00,1.069703348359337,0.5095088741914172,-1.444166192375182,-0.2203694510176435,1.3774818914170488,-0.3380663636469569,Cloudy,17,8,5,0,0.5601944741679198,-1.9893127781935234,Low,Low
2012-08-18 18:00:00,1.0269215654546662,0.3992396159662996,-1.6214964418123947,0.0204672840043137,1.3774818914170488,-0.3136186266148665,Cloudy,18,8,5,1,0.6276819494883665,-2.233581985593752,Low,Low
2012-08-18 19:00:00,0.8215690075122458,0.4635633499309515,-1.0895056935007563,-0.4612061860396007,1.3774818914170488,-0.2769470210667221,Clear,19,8,5,1,0.3580056575812943,-1.5007743633930652,Low,Low
2012-08-18 20:00:00,0.8386817206741144,0.491130664487231,-1.030395610355019,-0.9428796560835152,0.2351650332296159,-0.2158276784864873,Clear,20,8,5,1,0.3475510561868834,-0.2423130179487884,Low,Low
